Name,Date Practiced,Refresh Database,Tunes
Lilting Banshee (24-11-07),"November 7, 2024 6:06 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Lilting Banshee (https://www.notion.so/Lilting-Banshee-c76321240a8e494cb8bc4e890c9eb275?pvs=21)
Moll Roe (24-11-07),"November 7, 2024 6:07 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Moll Roe (https://www.notion.so/Moll-Roe-12c04f42e3e080e497c4ff2fe72c1cdd?pvs=21)
Hardiman the Fiddler (24-11-07),"November 7, 2024 6:07 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Hardiman the Fiddler (https://www.notion.so/Hardiman-the-Fiddler-2812d865b3124043851ea8beb3114fc8?pvs=21)
Humours of Ennistymon (24-11-07),"November 7, 2024 6:07 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Humours of Ennistymon (https://www.notion.so/Humours-of-Ennistymon-d65b81dba2ad43ac9d90f2b0af4b2e7b?pvs=21)
The Humours of Drinagh (24-11-07),"November 7, 2024 6:07 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Humours of Drinagh (https://www.notion.so/The-Humours-of-Drinagh-4d80c7bc671f44988d0f3c2b43afa8eb?pvs=21)
Virginia Reel (24-11-07),"November 7, 2024 7:35 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Virginia Reel (https://www.notion.so/Virginia-Reel-a70cac6ef3b446bbb552f061102e6d0a?pvs=21)
The Green Mountain (24-11-07),"November 7, 2024 7:36 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Green Mountain (https://www.notion.so/The-Green-Mountain-10904f42e3e08022a9ead2f39eb15442?pvs=21)
Sí Bheag Sí Mhór (24-11-07),"November 7, 2024 10:05 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Sí Bheag Sí Mhór (https://www.notion.so/S-Bheag-S-Mh-r-89166561cfef4087a14d1b5a4544965e?pvs=21)
Jimmy Duffy’s #1 (24-11-07),"November 7, 2024 10:38 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Jimmy Duffy’s #1 (https://www.notion.so/Jimmy-Duffy-s-1-7758e29ff4a4429b908a8b5004f033a4?pvs=21)
The Dances at Kinvara (24-11-07),"November 7, 2024 10:38 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Dances at Kinvara (https://www.notion.so/The-Dances-at-Kinvara-5ad1820870b143f4bc7b3fe4e79e2d01?pvs=21)
Kit O'Mahoney's  (24-11-07),"November 7, 2024 10:38 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Kit O'Mahoney's  (https://www.notion.so/Kit-O-Mahoney-s-1b5ad99f0f9f46689e14df11b1aa55cd?pvs=21)
Kafoozalum (24-11-07),"November 7, 2024 10:38 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Kafoozalum (https://www.notion.so/Kafoozalum-12e04f42e3e080d49867e84c6158ffa5?pvs=21)
The Golden Keyboard (24-11-07),"November 7, 2024 10:57 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Golden Keyboard (https://www.notion.so/The-Golden-Keyboard-11704f42e3e08034b122d622cc09c1a8?pvs=21)
Jimmy Duffy’s #2 (24-11-08),"November 8, 2024 7:34 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Jimmy Duffy’s #2 (https://www.notion.so/Jimmy-Duffy-s-2-1d3b61404eec422fa148df0c8bf1a56c?pvs=21)
The Banks of Ilen (24-11-08),"November 8, 2024 7:56 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Banks of Ilen (https://www.notion.so/The-Banks-of-Ilen-8b72b7cf8f1d405e818817b4f00e6482?pvs=21)
The Scartaglin  (24-11-08),"November 8, 2024 7:56 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Scartaglin  (https://www.notion.so/The-Scartaglin-0ba8cae210a34568993196d502ccda1f?pvs=21)
David Collins #1  (24-11-08),"November 8, 2024 8:27 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),David Collins #1  (https://www.notion.so/David-Collins-1-7cf501a1d26e4b0aa168bfe03893ec61?pvs=21)
The Coming of Spring (24-11-08),"November 8, 2024 8:27 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Coming of Spring (https://www.notion.so/The-Coming-of-Spring-12104f42e3e0805ba97bef841831a11b?pvs=21)
Corney is Coming (24-11-08),"November 8, 2024 8:35 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21)
Jenny’s Wedding (Reel) (24-11-08),"November 8, 2024 8:36 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Jenny’s Wedding (Reel) (https://www.notion.so/Jenny-s-Wedding-Reel-d33bfc003bdf443a80c372f13a1f5738?pvs=21)
The Lasses of Limerick (24-11-08),"November 8, 2024 8:40 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
Whelan's Jig  (24-11-08),"November 8, 2024 1:31 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Whelan's Jig  (https://www.notion.so/Whelan-s-Jig-8c851c4f83f24ce8b4b50e05c69e9b54?pvs=21)
Down the Back Lane (24-11-08),"November 8, 2024 1:31 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Down the Back Lane (https://www.notion.so/Down-the-Back-Lane-8d8b3ba7d0b64912915933914a8ee886?pvs=21)
Tripping Up the Stairs (24-11-08),"November 8, 2024 1:32 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Tripping Up the Stairs (https://www.notion.so/Tripping-Up-the-Stairs-11c04f42e3e080ada02bd99c76cd15bd?pvs=21)
The Golden Keyboard (24-11-08),"November 8, 2024 1:33 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Golden Keyboard (https://www.notion.so/The-Golden-Keyboard-11704f42e3e08034b122d622cc09c1a8?pvs=21)
Martin Wynne’s #1 (24-11-08),"November 8, 2024 2:28 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Martin Wynne’s #1 (https://www.notion.so/Martin-Wynne-s-1-8cbd6ec8afd74af08f08ae0647b7ac52?pvs=21)
The Rambling Pitchfork (24-11-08),"November 8, 2024 2:28 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Rambling Pitchfork (https://www.notion.so/The-Rambling-Pitchfork-b0aff6d7180b47ce957944a150be454b?pvs=21)
Virginia Reel (24-11-08),"November 8, 2024 2:29 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Virginia Reel (https://www.notion.so/Virginia-Reel-a70cac6ef3b446bbb552f061102e6d0a?pvs=21)
Timmy O’Connor’s  (24-11-08),"November 8, 2024 4:29 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Timmy O’Connor’s  (https://www.notion.so/Timmy-O-Connor-s-a8f79c03595b4241a138009c370c2444?pvs=21)
Leather Away the Waddle-O (24-11-08),"November 8, 2024 4:29 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Leather Away the Wattle-O (https://www.notion.so/Leather-Away-the-Wattle-O-151b2c78f91a4604a678644ca33f1d96?pvs=21)
Girl I Left Behind Me (24-11-09),"November 9, 2024 12:14 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Girl I Left Behind Me (https://www.notion.so/Girl-I-Left-Behind-Me-c5d41f7701ff4c36adb69da383511372?pvs=21)
The Kid on the Mountain (24-11-09),"November 9, 2024 12:15 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Dever the  Dancer (24-11-09),"November 9, 2024 12:15 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Dever the  Dancer (https://www.notion.so/Dever-the-Dancer-483ad6770bc94aa49e678e0e44ccf9c9?pvs=21)
Na Ceanabhan Bheana (24-11-09),"November 9, 2024 12:15 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Na Ceanabhan Bheana (https://www.notion.so/Na-Ceanabhan-Bheana-91e958ceda034ce795885634651c3f85?pvs=21)
Martin Wynne’s #1 (24-11-09),"November 9, 2024 12:16 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Martin Wynne’s #1 (https://www.notion.so/Martin-Wynne-s-1-8cbd6ec8afd74af08f08ae0647b7ac52?pvs=21)
Virginia Reel (24-11-09),"November 9, 2024 12:16 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Virginia Reel (https://www.notion.so/Virginia-Reel-a70cac6ef3b446bbb552f061102e6d0a?pvs=21)
The Lasses of Limerick (24-11-09),"November 9, 2024 12:16 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
Saddle the Pony (24-11-10),"November 10, 2024 8:54 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Saddle the Pony (https://www.notion.so/Saddle-the-Pony-0ce36a5b8066430b955c052f10666ce2?pvs=21)
Out on the Ocean (24-11-10),"November 10, 2024 8:55 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Out on the Ocean (https://www.notion.so/Out-on-the-Ocean-1f6a3d5651a3496dafb53a7953dde6cd?pvs=21)
The Foggy Dew (24-11-10),"November 10, 2024 9:10 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Foggy Dew (https://www.notion.so/The-Foggy-Dew-5803079470af446198c9042766e9c613?pvs=21)
Lawson’s  (24-11-10),"November 10, 2024 10:58 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Lawson’s  (https://www.notion.so/Lawson-s-13904f42e3e080519acdf5af35beae2b?pvs=21)
Moll Roe (24-11-10),"November 10, 2024 10:59 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Moll Roe (https://www.notion.so/Moll-Roe-12c04f42e3e080e497c4ff2fe72c1cdd?pvs=21)
Na Ceanabhan Bheana (24-11-10),"November 10, 2024 10:59 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Na Ceanabhan Bheana (https://www.notion.so/Na-Ceanabhan-Bheana-91e958ceda034ce795885634651c3f85?pvs=21)
Dever the  Dancer (24-11-10),"November 10, 2024 10:59 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Dever the  Dancer (https://www.notion.so/Dever-the-Dancer-483ad6770bc94aa49e678e0e44ccf9c9?pvs=21)
The Home Ruler (24-11-10),"November 10, 2024 10:59 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Home Ruler (https://www.notion.so/The-Home-Ruler-d8422970394e4c04b46736d3c46284b7?pvs=21)
Kitty's Wedding (HP) (24-11-10),"November 10, 2024 10:59 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Kitty's Wedding (HP) (https://www.notion.so/Kitty-s-Wedding-HP-bf9ce2af3f1b4233a323eb1a6299c49c?pvs=21)
Reddican's Mother (24-11-10),"November 10, 2024 10:59 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Reddican's Mother (https://www.notion.so/Reddican-s-Mother-11004f42e3e080329013f4c81a950df8?pvs=21)
Kafoozalum (24-11-10),"November 10, 2024 11:00 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Kafoozalum (https://www.notion.so/Kafoozalum-12e04f42e3e080d49867e84c6158ffa5?pvs=21)
Pipe on the Hob (24-11-11),"November 11, 2024 6:18 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Pipe on the Hob (https://www.notion.so/Pipe-on-the-Hob-f35290ef6ff8479b8234689bd21386ac?pvs=21)
The Hag at the Churn (24-11-11),"November 11, 2024 6:18 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Hag at the Churn (https://www.notion.so/The-Hag-at-the-Churn-4621de54f6474cee9ad99dbedda88ec5?pvs=21)
The Boys of Ballisodare (24-11-12),"November 12, 2024 1:46 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Boys of Ballisodare (https://www.notion.so/The-Boys-of-Ballisodare-d3fce4def8df43778acfbbd3c94575ab?pvs=21)
The Promenade (24-11-12),"November 12, 2024 1:46 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Promenade (https://www.notion.so/The-Promenade-72049f27c596464cb9f1b2dfb132d429?pvs=21)
The Spotted Dog (24-11-12),"November 12, 2024 1:47 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Spotted Dog (https://www.notion.so/The-Spotted-Dog-0b7225445a0047f7a0cadab25f006f1b?pvs=21)
The Boys of Bluehill (24-11-12),"November 12, 2024 1:47 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Boys of Bluehill (https://www.notion.so/The-Boys-of-Bluehill-4fb96408f31140ccbb015ab1f2fab59a?pvs=21)
Comb Your Hair and Curl It (24-11-12),"November 12, 2024 1:47 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Comb Your Hair and Curl It (https://www.notion.so/Comb-Your-Hair-and-Curl-It-5591068a74424c239af21f41fb1a2387?pvs=21)
The Plains of Boyle (24-11-12),"November 12, 2024 1:47 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Plains of Boyle (https://www.notion.so/The-Plains-of-Boyle-edf9e246e3184e67a45e1e4659674c46?pvs=21)
The Home Ruler (24-11-12),"November 12, 2024 1:47 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Home Ruler (https://www.notion.so/The-Home-Ruler-d8422970394e4c04b46736d3c46284b7?pvs=21)
Kitty's Wedding (HP) (24-11-12),"November 12, 2024 1:47 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Kitty's Wedding (HP) (https://www.notion.so/Kitty-s-Wedding-HP-bf9ce2af3f1b4233a323eb1a6299c49c?pvs=21)
Mug of Brown Ale (24-11-12),"November 12, 2024 1:48 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Mug of Brown Ale (https://www.notion.so/Mug-of-Brown-Ale-b87c86a1ef48464993d207e318b57a6b?pvs=21)
The Star Above the Garter (24-11-12),"November 12, 2024 2:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Star Above the Garter (https://www.notion.so/The-Star-Above-the-Garter-0d583c414356431ebe90179ae2702bef?pvs=21)
Dingle Regatta (24-11-12),"November 12, 2024 2:12 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Dingle Regatta (https://www.notion.so/Dingle-Regatta-a089fde022d4406a8bdb99c59fcfcae9?pvs=21)
The Golden Keyboard (24-11-12),"November 12, 2024 2:12 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Golden Keyboard (https://www.notion.so/The-Golden-Keyboard-11704f42e3e08034b122d622cc09c1a8?pvs=21)
The Otter's Holt (24-11-12),"November 12, 2024 10:25 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Otter's Holt (https://www.notion.so/The-Otter-s-Holt-aeb0b8d7d9d349a1bd04540c2e79321a?pvs=21)
Joe Bane’s (24-11-12),"November 12, 2024 10:25 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Joe Bane’s (https://www.notion.so/Joe-Bane-s-767652c54e744238ab21c4dc6adc4276?pvs=21)
The Princess (24-11-12),"November 12, 2024 10:26 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Princess (https://www.notion.so/The-Princess-9f55bda76f3f4c4692293374a42de21a?pvs=21)
Lawson’s  (24-11-12),"November 12, 2024 10:26 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Lawson’s  (https://www.notion.so/Lawson-s-13904f42e3e080519acdf5af35beae2b?pvs=21)
The Coming of Spring (24-11-13),"November 13, 2024 10:30 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Coming of Spring (https://www.notion.so/The-Coming-of-Spring-12104f42e3e0805ba97bef841831a11b?pvs=21)
Scully Casey’s (24-11-13),"November 13, 2024 11:05 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Scully Casey’s (https://www.notion.so/Scully-Casey-s-b7804226221b421db78adb35138ad1cb?pvs=21)
The Boys of Bluehill (24-11-13),"November 13, 2024 11:06 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Boys of Bluehill (https://www.notion.so/The-Boys-of-Bluehill-4fb96408f31140ccbb015ab1f2fab59a?pvs=21)
Reel of Rio (24-11-13),"November 13, 2024 5:50 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Reel of Rio (https://www.notion.so/Reel-of-Rio-16a1a90c34794ca99b0b75a0ed7d81d2?pvs=21)
Love At the Endings (24-11-13),"November 13, 2024 5:50 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Love At the Endings (https://www.notion.so/Love-At-the-Endings-9be0742265a9421b97b9e00adba0be62?pvs=21)
Na Ceanabhan Bheana (24-11-13),"November 13, 2024 5:51 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Na Ceanabhan Bheana (https://www.notion.so/Na-Ceanabhan-Bheana-91e958ceda034ce795885634651c3f85?pvs=21)
Brosna Slide #1 (24-11-14),"November 14, 2024 11:35 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Brosna Slide #1 (https://www.notion.so/Brosna-Slide-1-11d04f42e3e080819a95e4aefb1c1c90?pvs=21)
Brosna Slide #3 (24-11-14),"November 14, 2024 11:35 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Brosna Slide #3 (https://www.notion.so/Brosna-Slide-3-12504f42e3e0808aad51ee6e5efed321?pvs=21)
Brosna Slide #2 (24-11-14),"November 14, 2024 11:35 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Brosna Slide #2 (https://www.notion.so/Brosna-Slide-2-12204f42e3e0800bb1a6fb333a0d486b?pvs=21)
The Woods of Caol Rua (24-11-14),"November 14, 2024 11:35 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Woods of Caol Rua (https://www.notion.so/The-Woods-of-Caol-Rua-13d04f42e3e0802cbb4cd4c428d92849?pvs=21)
The Kid on the Mountain (24-11-14),"November 14, 2024 11:44 AM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Come West Along the Road (24-11-15),"November 15, 2024 1:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Come West Along the Road (https://www.notion.so/Come-West-Along-the-Road-747f05a787254086bd44458bd5636459?pvs=21)
The Union Reel (24-11-16),"November 16, 2024 1:20 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Union Reel (https://www.notion.so/The-Union-Reel-7783ab2b870e472492297bd669f47b74?pvs=21)
The Flowers of Munster (24-11-16),"November 16, 2024 1:20 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Flowers of Munster (https://www.notion.so/The-Flowers-of-Munster-13f04f42e3e080f3b14aec00883fca4a?pvs=21)
Up On the Wagon (24-11-17),"November 17, 2024 12:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Up On the Wagon (https://www.notion.so/Up-On-the-Wagon-b85dc676e75e497790c148e4ad87e924?pvs=21)
" (24-11-17)","November 17, 2024 12:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),
Timmy O’Connor’s  (24-11-17),"November 17, 2024 12:12 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Timmy O’Connor’s  (https://www.notion.so/Timmy-O-Connor-s-a8f79c03595b4241a138009c370c2444?pvs=21)
Bó Mín Na Toichean (24-11-17),"November 17, 2024 12:46 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Bó Mín Na Toichean (https://www.notion.so/B-M-n-Na-Toichean-14004f42e3e0809f97e5ee038f18c950?pvs=21)
The Woods of Caol Rua (24-11-17),"November 17, 2024 12:46 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Woods of Caol Rua (https://www.notion.so/The-Woods-of-Caol-Rua-13d04f42e3e0802cbb4cd4c428d92849?pvs=21)
Delahunty's Hornpipe (24-11-17),"November 17, 2024 1:02 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Delahunty's Hornpipe (https://www.notion.so/Delahunty-s-Hornpipe-39237dc5c85c48b3973007aacf1c2c31?pvs=21)
The Dances at Kinvara (24-11-17),"November 17, 2024 1:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Dances at Kinvara (https://www.notion.so/The-Dances-at-Kinvara-5ad1820870b143f4bc7b3fe4e79e2d01?pvs=21)
Off to California (24-11-17),"November 17, 2024 1:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Off to California (https://www.notion.so/Off-to-California-b4ba573bf091412d87d55479e2a3b6fd?pvs=21)
Kesh Jig (24-11-17),"November 17, 2024 8:38 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Kesh Jig (https://www.notion.so/Kesh-Jig-cd1c2cf57b5f45789bfdcc89098bb992?pvs=21)
Out on the Ocean (24-11-17),"November 17, 2024 11:10 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Out on the Ocean (https://www.notion.so/Out-on-the-Ocean-1f6a3d5651a3496dafb53a7953dde6cd?pvs=21)
Sporting Paddy (24-11-17),"November 17, 2024 11:10 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Sporting Paddy (https://www.notion.so/Sporting-Paddy-323d0a89abeb4931ab08147ef53f14ab?pvs=21)
Lilting Banshee (24-11-17),"November 17, 2024 11:10 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),Lilting Banshee (https://www.notion.so/Lilting-Banshee-c76321240a8e494cb8bc4e890c9eb275?pvs=21)
The Plains of Boyle (24-11-17),"November 17, 2024 11:10 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Plains of Boyle (https://www.notion.so/The-Plains-of-Boyle-edf9e246e3184e67a45e1e4659674c46?pvs=21)
The Home Ruler (24-11-17),"November 17, 2024 11:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Home Ruler (https://www.notion.so/The-Home-Ruler-d8422970394e4c04b46736d3c46284b7?pvs=21)
The Flowers of Munster (24-11-17),"November 17, 2024 11:11 PM (CST)",Refresh 02 (https://www.notion.so/Refresh-02-a88360def3bf4f439e7624d26f0b9649?pvs=21),The Flowers of Munster (https://www.notion.so/The-Flowers-of-Munster-13f04f42e3e080f3b14aec00883fca4a?pvs=21)
